1,SATURN,150,PLANET,SOLAR SYSTEM,5,"Saturn is the sixth planet from the Sun and the second-largest in the Solar System, after Jupiter. It is a gas giant with an average radius of about nine times that of Earth. It only has one-eighth the average density of Earth; however, with its larger volume, Saturn is over 95 times more massive.",resources/images/planets/dest_1sm.png,resources/images/planets/dest_1lg.png
2,NEPTUNE,200,PLANET,SOLAR SYSTEM,6,"Neptune is the eighth and farthest-known planet from the Sun in the Solar System. In the Solar System, it is the fourth-largest planet by diameter, the third-most-massive planet, and the densest giant planet. Neptune is 17 times the mass of Earth, slightly more massive than its near-twin Uranus.",resources/images/planets/dest_2sm.png,resources/images/planets/dest_2lg.png
3,ALPHA CENTAURI,1000,STAR,ALPHA CENTAURI,100,Alpha Centauri is the closest star system and closest planetary system to Earth's Solar System at 4.37 light-years from the Sun.,resources/images/planets/dest_3sm.png,resources/images/planets/dest_3lg.png
4,BETA CENTAURI,2000,STAR,BETA CENTAURI,75,"Beta Centauri, officially called Hadar, is a triple star system in the southern constellation of Centaurus. The system's combined apparent visual magnitude of 0.61 makes it the second-brightest object in Centaurus and one of the brightest stars in the night sky.",resources/images/planets/dest_4sm.png,resources/images/planets/dest_4lg.png
5,PROXIMA CENTAURI,800,STAR,PROXIMA CENTAURI,95,"Proxima Centauri is a small, low-mass star located 4.244 light-years away from the Sun in the southern constellation of Centaurus. Its Latin name means the ""nearest [star] of Centaurus"". This object was discovered in 1915 by Robert Innes and is the nearest-known star to the Sun",resources/images/planets/dest_5sm.png,resources/images/planets/dest_5lg.png
6,MARS,50,PLANET,SOLAR SYSTEM,2,"Mars is the fourth planet from the Sun and the second-smallest planet in the Solar System, being only larger than Mercury. In English, Mars carries the name of the Roman god of war and is often referred to as the ""Red Planet""",resources/images/planets/dest_6sm.png,resources/images/planets/dest_6lg.png
7,MOON,10,MOON,SOLAR SYSTEM,1,"The Moon is an astronomical body orbiting Earth and is the planet's only natural satellite. It is the fifth-largest satellite in the Solar System, and by far the largest among planetary satellites relative to the size of the planet that it orbits",resources/images/planets/dest_7sm.png,resources/images/planets/dest_7lg.png
8,VENUS,15,PLANET,SOLAR SYSTEM,1,"Venus is the second planet from the Sun. It is named after the Roman goddess of love and beauty. As the second-brightest natural object in the night sky after the Moon, Venus can cast shadows and can be, on rare occasion, visible to the naked eye in broad daylight.",resources/images/planets/dest_8sm.png,resources/images/planets/dest_8lg.png
9,SUN,1,PLANET,SOLAR SYSTEM,2,"The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. It is by far the most important source of energy for life on Earth.",resources/images/planets/dest_9sm.png,resources/images/planets/dest_9lg.png
10,JUPITER,160,PLANET,SOLAR SYSTEM,3,"Jupiter is the fifth planet from the Sun and the largest in the Solar System. It is a gas giant with a mass one-thousandth that of the Sun, but two-and-a-half times that of all the other planets in the Solar System combined.",resources/images/planets/dest_10sm.png,resources/images/planets/dest_10lg.png
11,URANUS,200,PLANET,SOLAR SYSTEM,3,"Uranus is the seventh planet from the Sun. The name ""Uranus"" is a reference to the Greek god of the sky, Uranus. According to Greek mythology, Uranus was the grandfather of Zeus and father of Cronus. It has the third-largest planetary radius and fourth-largest planetary mass in the Solar System",resources/images/planets/dest_11sm.png,resources/images/planets/dest_11lg.png
